iter	Passed	Remaining
695	1729	3239
696	1731	3237
697	1733	3234
698	1736	3231
699	1738	3228
700	1740	3225
701	1742	3222
702	1745	3219
703	1747	3216
704	1749	3214
705	1751	3210
706	1754	3207
707	1756	3205
708	1758	3202
709	1760	3199
710	1763	3196
711	1765	3194
712	1768	3191
713	1770	3188
714	1772	3185
715	1774	3182
716	1777	3180
717	1779	3177
718	1782	3175
719	1784	3172
720	1786	3169
721	1789	3167
722	1791	3163
723	1793	3161
724	1796	3158
725	1798	3155
726	1800	3153
727	1802	3150
728	1805	3147
729	1807	3144
730	1809	3141
731	1812	3139
732	1814	3136
733	1816	3133
734	1818	3130
735	1821	3127
736	1823	3124
737	1825	3122
738	1828	3120
739	1830	3117
740	1833	3114
741	1835	3112
742	1838	3109
743	1840	3107
744	1843	3105
745	1845	3102
746	1848	3100
747	1850	3097
748	1852	3094
749	1854	3091
750	1857	3088
751	1859	3085
752	1861	3082
753	1863	3079
754	1865	3076
755	1867	3073
756	1869	3070
757	1872	3067
758	1873	3063
759	1875	3060
760	1878	3057
761	1880	3054
762	1882	3051
763	1884	3048
764	1886	3045
765	1888	3042
766	1891	3039
767	1893	3036
768	1895	3033
769	1897	3030
770	1899	3028
771	1902	3025
772	1904	3022
773	1906	3019
774	1908	3016
775	1910	3013
776	1912	3010
777	1914	3007
778	1916	3004
779	1919	3001
780	1921	2998
781	1923	2995
782	1925	2992
783	1927	2989
784	1930	2987
785	1932	2985
786	1935	2982
787	1937	2979
788	1939	2976
789	1941	2974
790	1944	2971
791	1946	2969
792	1949	2966
793	1951	2964
794	1953	2961
795	1956	2959
796	1958	2955
797	1960	2953
798	1963	2950
799	1965	2948
800	1967	2945
801	1970	2942
802	1972	2939
803	1974	2937
804	1977	2935
805	1979	2932
806	1981	2929
807	1983	2926
808	1986	2923
809	1988	2921
810	1991	2919
811	1993	2917
812	1996	2914
813	1998	2911
814	2000	2908
815	2002	2906
816	2005	2903
817	2007	2900
818	2009	2897
819	2011	2895
820	2013	2892
821	2016	2889
822	2018	2886
823	2020	2883
824	2023	2881
825	2025	2878
826	2027	2875
827	2029	2872
828	2031	2869
829	2034	2867
830	2036	2864
831	2038	2861
832	2040	2858
833	2042	2855
834	2044	2852
835	2046	2849
836	2048	2846
837	2051	2844
838	2053	2841
839	2055	2838
840	2057	2834
841	2059	2832
842	2061	2829
843	2063	2826
844	2065	2823
845	2067	2820
846	2070	2817
847	2072	2815
848	2074	2812
849	2076	2809
850	2078	2806
851	2080	2803
852	2083	2800
853	2085	2798
854	2087	2795
855	2089	2792
856	2092	2790
857	2093	2787
858	2096	2784
859	2098	2781
860	2100	2778
861	2103	2776
862	2105	2773
863	2107	2770
864	2109	2767
865	2111	2764
866	2113	2762
867	2115	2759
868	2117	2756
869	2119	2753
870	2122	2750
871	2124	2748
872	2126	2745
873	2129	2743
874	2132	2741
875	2134	2738
876	2136	2736
877	2139	2733
878	2141	2731
879	2143	2728
880	2146	2725
881	2148	2723
882	2150	2720
883	2152	2717
884	2154	2714
885	2157	2712
886	2159	2710
887	2162	2707
888	2164	2704
889	2166	2702
890	2169	2700
891	2171	2697
892	2174	2695
893	2176	2692
894	2179	2690
895	2182	2688
896	2184	2686
897	2187	2684
898	2189	2681
899	2192	2679
900	2194	2676
901	2197	2674
902	2199	2672
903	2202	2670
904	2205	2668
905	2207	2665
906	2210	2663
907	2212	2660
908	2214	2658
909	2216	2655
910	2219	2652
911	2221	2650
912	2223	2647
913	2226	2645
914	2228	2642
915	2230	2639
916	2232	2637
917	2235	2634
918	2237	2631
919	2239	2629
920	2241	2626
921	2243	2623
922	2246	2621
923	2248	2618
924	2251	2616
925	2253	2613
926	2255	2611
927	2258	2608
928	2260	2605
929	2262	2603
930	2265	2600
931	2267	2598
932	2269	2595
933	2271	2592
934	2273	2589
935	2275	2586
936	2278	2584
937	2280	2581
938	2282	2579
939	2284	2576
940	2286	2573
941	2288	2570
942	2291	2568
943	2293	2565
944	2295	2562
945	2297	2560
946	2300	2557
947	2302	2555
948	2304	2552
949	2307	2550
950	2309	2547
951	2312	2545
952	2314	2542
953	2316	2539
954	2318	2537
955	2321	2534
956	2323	2532
957	2325	2529
958	2328	2527
959	2330	2524
960	2332	2522
961	2334	2519
962	2336	2516
963	2339	2514
964	2341	2511
965	2344	2509
966	2346	2506
967	2348	2504
968	2351	2501
969	2353	2498
970	2355	2496
971	2358	2493
972	2360	2491
973	2362	2488
974	2364	2485
975	2366	2483
976	2369	2480
977	2371	2478
978	2373	2475
979	2375	2472
980	2378	2470
981	2380	2467
982	2382	2465
983	2385	2462
984	2387	2460
985	2389	2457
986	2392	2455
987	2394	2452
988	2397	2450
989	2399	2448
990	2402	2445
991	2404	2443
992	2406	2440
993	2408	2437
994	2411	2435
995	2413	2432
996	2415	2430
997	2418	2427
998	2420	2425
999	2422	2422
1000	2424	2419
1001	2426	2417
1002	2428	2414
